node1	node2	c1	c2
1	3	1	1
0	2	0	0
4	6	0	0
8	10	0	0
6	12	0	0
14	6	0	0
5	7	1	1
9	9	1	1
16	18	0	0
11	13	1	1
18	20	0	0
18	15	0	1
22	8	0	0
18	13	0	1
24	20	0	0
26	17	0	1
6	28	0	0
19	21	1	1
20	18	0	0
24	22	0	0
13	30	1	0
13	23	1	1
25	25	1	1
16	22	0	0
6	8	0	0
13	27	1	1
29	15	1	1
31	33	1	1
35	13	1	1
22	24	0	0
8	32	0	0
13	13	1	1
37	39	1	1
41	43	1	1
28	45	0	1
47	15	1	1
13	13	1	1
8	22	0	0
49	51	1	1
16	0	0	0
13	13	1	1
19	35	1	1
18	28	0	0
13	53	1	1
15	13	1	1
55	19	1	1
13	33	1	1
9	34	1	0
14	36	0	0
13	57	1	1
14	22	0	0
26	0	0	0
19	59	1	1
38	0	0	0
22	6	0	0
8	40	0	0
8	8	0	0
42	28	0	0
28	8	0	0
28	22	0	0
22	44	0	0
22	18	0	0
6	61	0	1
25	51	1	1
22	46	0	0
13	48	1	0
50	2	0	0
63	65	1	1
1	67	1	1
52	44	0	0
50	22	0	0
18	18	0	0
8	69	0	1
54	54	0	0
71	48	1	0
73	13	1	1
40	24	0	0
13	19	1	1
61	13	1	1
13	51	1	1
13	75	1	1
25	77	1	1
50	18	0	0
28	79	0	1
56	58	0	0
8	8	0	0
18	54	0	0
13	13	1	1
81	9	1	1
83	18	1	0
85	87	1	1
1	13	1	1
89	8	1	0
8	24	0	0
56	8	0	0
79	13	1	1
13	13	1	1
6	18	0	0
13	13	1	1
60	44	0	0
