node1	node2	cs1	cs2	Q_ID
333690	333690	1	1	6794689
333690	491902	1	1	6794689
333690	369891	1	1	6794689
333690	333690	1	1	6794689
333690	465873	1	1	6794689
333690	594239	1	1	6794689
333690	333690	1	1	6794689
333690	465873	1	1	6794689
376638	683935	1	1	8079642
376638	617860	1	1	8079642
376638	617860	1	1	8079642
376638	534582	1	1	8079642
649607	649607	1	1	8080428
649607	649607	1	1	8080428
676967	676967	1	1	8093704
676967	411181	1	1	8093704
676967	676967	1	1	8093704
676967	676967	1	1	8093704
676967	676967	1	1	8093704
676967	669306	1	1	8093704
676967	639154	1	1	8093704
676967	682002	1	1	8093704
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	534582	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	660349	1	1	8107422
660349	631590	1	1	8107422
660349	660349	1	1	8107422
660349	631590	1	1	8107422
660349	660349	1	1	8107422
660349	535415	1	1	8107422
660349	535415	1	1	8107422
660349	660349	1	1	8107422
667863	678609	1	1	8131032
667863	667863	1	1	8131032
667863	667863	1	1	8131032
667863	667863	1	1	8131032
667863	667863	1	1	8131032
667863	312340	1	1	8131032
156821	263646	1	1	8142534
395874	395874	1	1	8142614
395874	395874	1	1	8142614
395874	583005	1	1	8142614
395874	395874	1	1	8142614
395874	395874	1	1	8142614
395874	591672	1	1	8142614
395874	583005	1	1	8142614
650805	491902	1	1	8142626
650805	650805	1	1	8142626
650805	491902	1	1	8142626
388083	582434	1	1	8142836
388083	420808	1	1	8142836
388083	412564	1	1	8142836
388083	666250	1	1	8142836
388083	263646	1	1	8142836
388083	665970	1	1	8142836
386545	263646	1	1	8142863
663467	663467	1	1	8142934
663467	674447	1	1	8142934
663467	674447	1	1	8142934
663467	353197	1	1	8142934
663467	663467	1	1	8142934
663467	583005	1	1	8142934
663467	663467	1	1	8142934
663467	663467	1	1	8142934
437403	546798	1	1	8143036
437403	606418	1	1	8143036
437403	437403	1	1	8143036
437403	437403	1	1	8143036
437403	666250	1	1	8143036
285024	674447	1	1	8143120
679383	678232	1	1	8143195
679383	678232	1	1	8143195
679383	679383	1	1	8143195
663467	663467	1	1	8143220
663467	663467	1	1	8143220
663467	663467	1	1	8143220
663467	663467	1	1	8143220
589252	589252	1	1	8143276
589252	596426	1	1	8143276
355730	536240	1	1	8143281
663467	663467	1	1	8143683
663467	663467	1	1	8143683
663467	663467	1	1	8143683
663467	613665	1	1	8143683
663467	663467	1	1	8143683
663467	600834	1	1	8143683
663467	600834	1	1	8143683
663467	663467	1	1	8143683
663467	663467	1	1	8143683
663467	613665	1	1	8143683
663467	663467	1	1	8143683
296910	517096	1	1	8143807
296910	296910	1	1	8143807
30751	510262	1	1	8143889
641742	641742	1	1	8143980
489037	460904	1	1	8144094
489037	460904	1	1	8144094
489037	460904	1	1	8144094
489037	489037	1	1	8144094
489037	489037	1	1	8144094
489037	460904	1	1	8144094
489037	460904	1	1	8144094
489037	489037	1	1	8144094
489037	489037	1	1	8144094
489037	460904	1	1	8144094
489037	489037	1	1	8144094
130224	130224	1	1	8144293
130224	130224	1	1	8144293
667411	559482	1	1	8144461
411939	411939	1	1	8144468
516067	256237	1	1	8144531
516067	646213	1	1	8144531
516067	256237	1	1	8144531
516067	36710	1	1	8144531
217284	653346	1	1	8144593
679402	679402	1	1	8144647
582710	582710	1	1	8144726
582710	582710	1	1	8144726
480238	480238	1	1	8144887
481758	679402	1	1	8144971
481758	548788	1	1	8144971
481758	479348	1	1	8145175
673001	653346	1	1	8145354
608561	666617	1	1	8145399
608561	608561	1	1	8145399
608561	608561	1	1	8145399
671693	515196	1	1	8146231
671693	352096	1	1	8146231
671693	671693	1	1	8146231
671693	671693	1	1	8146231
671693	671693	1	1	8146231
671693	515196	1	1	8146231
647989	363464	1	1	8146456
480812	666250	1	1	8146702
491902	415218	1	1	8146749
679543	679543	1	1	8146829
679543	679543	1	1	8146829
679543	679543	1	1	8146829
679543	671693	1	1	8146829
679543	671693	1	1	8146829
618252	672799	1	1	8146887
618252	670133	1	1	8146887
618252	618252	1	1	8146887
618252	618252	1	1	8146887
618252	677078	1	1	8146887
618252	398551	1	1	8146887
618252	618252	1	1	8146887
618252	665970	1	1	8146887
618252	677078	1	1	8146887
618252	373605	1	1	8146887
618252	618252	1	1	8146887
281894	375076	1	1	8147099
281894	670452	1	1	8147099
548925	356566	1	1	8147146
664353	664353	1	1	8147188
664353	664353	1	1	8147188
664353	664353	1	1	8147188
664353	664353	1	1	8147188
664353	664353	1	1	8147188
664353	664353	1	1	8147188
603706	609506	1	1	8147326
603706	678232	1	1	8147326
484893	420808	1	1	8147486
580954	580954	1	1	8147615
580954	580954	1	1	8147615
580954	580954	1	1	8147615
568243	568243	1	1	8147894
568243	658263	1	1	8147894
536646	678232	1	1	8147946
356566	356566	1	1	8147981
356566	356566	1	1	8147981
356566	548925	1	1	8147981
356566	356566	1	1	8147981
356566	356566	1	1	8147981
356566	356566	1	1	8147981
356566	130224	1	1	8147981
356566	356566	1	1	8147981
356566	356566	1	1	8147981
356566	488390	1	1	8147981
517312	677078	1	1	8147987
517312	481758	1	1	8147987
678609	416031	1	1	8148052
678609	318442	1	1	8148052
678609	678609	1	1	8148052
678609	678609	1	1	8148052
678609	678609	1	1	8148052
345431	672799	1	1	8148736
591283	591283	1	1	8148885
591283	591283	1	1	8148885
618252	618252	1	1	8148946
669762	669762	1	1	8149035
675974	675974	1	1	8149108
588293	588293	1	1	8149120
353020	363922	1	1	8149131
353020	353020	1	1	8149131
531422	363922	1	1	8149155
620073	486045	1	1	8149226
679723	679723	1	1	8149517
679723	679723	1	1	8149517
679723	679723	1	1	8149517
670452	670452	1	1	8149535
670452	375499	1	1	8149535
670452	670452	1	1	8149535
670452	670452	1	1	8149535
670452	263646	1	1	8149535
670452	484429	1	1	8149535
670452	375499	1	1	8149535
670452	670452	1	1	8149535
670452	670452	1	1	8149535
666881	666881	1	1	8149661
666881	211765	1	1	8149661
555635	555635	1	1	8150433
555635	555635	1	1	8150433
555635	555635	1	1	8150433
555635	555635	1	1	8150433
481758	614154	1	1	8150519
481758	481758	1	1	8150519
481758	614154	1	1	8150519
481758	481758	1	1	8150519
481758	481758	1	1	8150519
481758	481758	1	1	8150519
613665	613665	1	1	8150593
613665	613665	1	1	8150593
641140	325630	1	1	8150654
641140	325630	1	1	8150654
641140	641140	1	1	8150654
132147	132147	1	1	8150889
132147	363922	1	1	8150889
132147	132147	1	1	8150889
132147	363922	1	1	8150889
540165	540165	1	1	8150936
540165	540165	1	1	8150936
540165	540165	1	1	8150936
540165	540165	1	1	8150936
627294	457689	1	1	8150973
670632	613944	1	1	8151167
670632	613944	1	1	8151167
670632	670632	1	1	8151167
670632	670632	1	1	8151167
670632	670632	1	1	8151167
670632	613944	1	1	8151167
670632	481758	1	1	8151167
481758	481758	1	1	8151302
226299	590509	1	1	8151402
226299	240906	1	1	8151402
529869	36710	1	1	8151492
529869	481758	1	1	8151492
69332	480865	1	1	8151933
69332	633760	1	1	8151933
69332	633760	1	1	8151933
69332	69332	1	1	8151933
69332	69332	1	1	8151933
69332	633760	1	1	8151933
69332	69332	1	1	8151933
69332	646958	1	1	8151933
69332	69332	1	1	8151933
69332	650343	1	1	8151933
69332	69332	1	1	8151933
638599	608610	1	1	8152001
638599	638599	1	1	8152001
638599	608610	1	1	8152001
575050	217284	1	1	8152011
524419	609332	1	1	8152361
668241	668241	1	1	8152436
557124	557124	1	1	8152527
678733	211765	1	1	8152758
465904	465904	1	1	8152831
465904	465904	1	1	8152831
465904	455673	1	1	8152831
465904	465904	1	1	8152831
465904	465904	1	1	8152831
465904	465904	1	1	8152831
465904	455673	1	1	8152831
647135	562480	1	1	8153221
647135	647135	1	1	8153221
627294	627294	1	1	8153447
627294	660349	1	1	8153447
627294	660349	1	1	8153447
663467	663467	1	1	8153462
663467	627647	1	1	8153462
663467	627647	1	1	8153462
663467	663467	1	1	8153462
663467	627647	1	1	8153462
663467	663467	1	1	8153462
663467	627647	1	1	8153462
663467	627647	1	1	8153462
663467	663467	1	1	8153462
663467	663467	1	1	8153462
28240	28240	1	1	8153492
663880	663880	1	1	8153578
663880	663880	1	1	8153578
663880	270519	1	1	8153603
663880	663880	1	1	8153603
659638	348836	1	1	8153863
529869	647575	1	1	8154003
529869	529869	1	1	8154003
529869	529869	1	1	8154003
651091	627294	1	1	8154343
651091	579447	1	1	8154343
651091	579447	1	1	8154343
651091	607868	1	1	8154343
651091	651091	1	1	8154343
651091	651091	1	1	8154343
651091	651091	1	1	8154343
651091	651091	1	1	8154343
651091	651091	1	1	8154343
651091	647377	1	1	8154343
575305	262559	1	1	8154466
614154	614154	1	1	8154595
614154	614154	1	1	8154595
614154	478824	1	1	8154595
614154	614154	1	1	8154595
614154	614154	1	1	8154595
614154	614154	1	1	8154595
614154	627294	1	1	8154595
614154	627294	1	1	8154595
614154	478824	1	1	8154595
614154	478824	1	1	8154595
678396	650513	1	1	8154638
676531	679753	1	1	8154651
679605	679605	1	1	8154691
679605	679605	1	1	8154691
679605	679605	1	1	8154691
679605	679605	1	1	8154691
679605	679605	1	1	8154691
609972	609972	1	1	8154719
609972	421540	1	1	8154719
609972	421540	1	1	8154719
646248	652523	1	1	8154737
646248	652523	1	1	8154737
646248	646248	1	1	8154737
669629	669629	1	1	8155132
669629	298178	1	1	8155132
669629	669629	1	1	8155132
669629	632384	1	1	8155132
669629	672171	1	1	8155132
669629	669629	1	1	8155132
669629	583005	1	1	8155132
669629	672171	1	1	8155132
669629	669629	1	1	8155132
669629	669629	1	1	8155132
669629	669629	1	1	8155132
669629	674095	1	1	8155132
669629	669629	1	1	8155132
669629	674095	1	1	8155132
669629	298178	1	1	8155132
669629	583005	1	1	8155132
669629	674095	1	1	8155132
453282	453282	1	1	8155186
453282	453282	1	1	8155186
453282	453282	1	1	8155186
453282	453282	1	1	8155217
453282	692791	1	1	8155217
579262	579262	1	1	8155709
579262	579262	1	1	8155709
579262	579262	1	1	8155709
579262	579262	1	1	8155709
579262	666371	1	1	8155709
579262	457689	1	1	8155709
579262	579262	1	1	8155709
589252	589252	1	1	8155733
589252	589252	1	1	8155733
589252	589252	1	1	8155733
589252	518741	1	1	8155733
589252	589252	1	1	8155733
589252	680058	1	1	8155733
589252	589252	1	1	8155733
589252	589252	1	1	8155733
340812	440200	1	1	8155751
340812	440200	1	1	8155751
340812	340812	1	1	8155751
340812	340812	1	1	8155751
340812	440200	1	1	8155751
340812	340812	1	1	8155751
253308	676531	1	1	8155798
464569	562480	1	1	8155846
464569	464569	1	1	8155846
464569	412898	1	1	8155846
464569	420571	1	1	8155846
440200	437403	1	1	8155925
440200	263646	1	1	8155925
440200	609332	1	1	8155925
