node1	node2	c1	c2
1	3	1	1
5	1	1	1
0	2	0	0
7	9	1	1
4	6	0	0
8	10	0	0
9	11	1	1
10	6	0	0
6	13	0	1
1	15	1	1
8	12	0	0
7	17	1	1
6	14	0	0
11	17	1	1
5	5	1	1
2	19	0	1
9	11	1	1
9	16	1	0
21	13	1	1
6	2	0	0
23	5	1	1
18	12	0	0
9	11	1	1
2	8	0	0
11	5	1	1
9	11	1	1
20	6	0	0
12	12	0	0
5	5	1	1
1	23	1	1
25	1	1	1
6	6	0	0
12	10	0	0
11	1	1	1
5	5	1	1
6	2	0	0
6	22	0	0
15	17	1	1
10	24	0	0
9	23	1	1
11	17	1	1
9	5	1	1
5	9	1	1
22	6	0	0
27	23	1	1
2	20	0	0
10	22	0	0
11	5	1	1
13	5	1	1
5	11	1	1
1	9	1	1
26	28	0	0
5	5	1	1
1	29	1	1
1	15	1	1
5	6	1	0
15	9	1	1
5	13	1	1
0	20	0	0
9	1	1	1
9	15	1	1
2	30	0	0
8	7	0	1
26	5	0	1
31	23	1	1
10	6	0	0
32	32	0	0
5	9	1	1
11	5	1	1
23	9	1	1
34	2	0	0
22	16	0	0
32	12	0	0
11	5	1	1
22	10	0	0
6	6	0	0
33	5	1	1
12	18	0	0
24	8	0	0
24	36	0	0
24	31	0	1
21	9	1	1
8	32	0	0
11	9	1	1
15	7	1	1
38	6	0	0
9	13	1	1
12	12	0	0
10	0	0	0
10	0	0	0
5	11	1	1
11	15	1	1
2	32	0	0
11	15	1	1
0	40	0	0
11	17	1	1
6	42	0	0
5	6	1	0
44	2	0	0
12	9	0	1
10	22	0	0
13	11	1	1
19	23	1	1
1	11	1	1
11	9	1	1
24	23	0	1
2	22	0	0
15	13	1	1
46	0	0	0
15	7	1	1
17	5	1	1
32	9	0	1
22	24	0	0
48	22	0	0
6	12	0	0
22	24	0	0
1	23	1	1
12	40	0	0
6	13	0	1
16	13	0	1
22	8	0	0
13	5	1	1
13	5	1	1
9	1	1	1
6	12	0	0
12	12	0	0
5	9	1	1
9	19	1	1
24	26	0	0
23	6	1	0
7	11	1	1
11	9	1	1
9	10	1	0
6	44	0	0
12	16	0	0
16	0	0	0
10	6	0	0
12	40	0	0
23	9	1	1
9	11	1	1
46	24	0	0
9	15	1	1
6	12	0	0
1	7	1	1
13	5	1	1
12	46	0	0
25	15	1	1
9	5	1	1
0	12	0	0
1	5	1	1
5	3	1	1
9	5	1	1
5	5	1	1
6	8	0	0
7	23	1	1
6	24	0	0
9	1	1	1
6	2	0	0
9	22	1	0
0	42	0	0
2	12	0	0
10	4	0	0
12	18	0	0
8	1	0	1
5	0	1	0
50	6	0	0
1	5	1	1
12	6	0	0
6	6	0	0
6	6	0	0
12	22	0	0
13	19	1	1
13	7	1	1
52	10	0	0
1	6	1	0
5	13	1	1
12	11	0	1
22	6	0	0
15	15	1	1
20	32	0	0
2	32	0	0
15	5	1	1
5	9	1	1
8	0	0	0
10	32	0	0
15	25	1	1
11	1	1	1
11	29	1	1
3	5	1	1
9	9	1	1
6	30	0	0
12	9	0	1
35	1	1	1
6	6	0	0
23	35	1	1
5	9	1	1
12	9	0	1
13	11	1	1
11	22	1	0
15	5	1	1
8	24	0	0
22	6	0	0
11	11	1	1
11	13	1	1
6	6	0	0
32	24	0	0
26	6	0	0
15	1	1	1
24	13	0	1
5	5	1	1
22	7	0	1
1	11	1	1
35	11	1	1
6	6	0	0
6	10	0	0
2	32	0	0
5	11	1	1
8	10	0	0
5	11	1	1
12	12	0	0
9	5	1	1
6	2	0	0
23	23	1	1
9	15	1	1
26	50	0	0
1	1	1	1
12	12	0	0
5	9	1	1
9	11	1	1
9	9	1	1
15	23	1	1
13	5	1	1
5	9	1	1
6	12	0	0
6	22	0	0
5	11	1	1
22	6	0	0
17	11	1	1
36	2	0	0
20	12	0	0
2	2	0	0
31	11	1	1
2	11	0	1
10	22	0	0
11	9	1	1
12	32	0	0
11	11	1	1
6	32	0	0
5	15	1	1
17	6	1	0
54	6	0	0
9	10	1	0
10	12	0	0
15	5	1	1
32	22	0	0
6	12	0	0
32	6	0	0
23	5	1	1
6	5	0	1
9	1	1	1
19	9	1	1
31	11	1	1
9	1	1	1
6	6	0	0
6	5	0	1
12	10	0	0
6	6	0	0
11	5	1	1
1	25	1	1
37	15	1	1
12	24	0	0
9	5	1	1
56	12	0	0
1	21	1	1
6	36	0	0
13	23	1	1
11	15	1	1
23	9	1	1
5	7	1	1
8	12	0	0
5	15	1	1
21	17	1	1
5	1	1	1
34	6	0	0
16	6	0	0
31	5	1	1
22	6	0	0
23	6	1	0
5	9	1	1
12	2	0	0
11	9	1	1
22	0	0	0
10	22	0	0
22	6	0	0
1	12	1	0
22	20	0	0
12	12	0	0
5	23	1	1
11	5	1	1
6	23	0	1
0	6	0	0
5	11	1	1
13	31	1	1
24	6	0	0
40	2	0	0
9	11	1	1
10	13	0	1
11	5	1	1
16	10	0	0
9	9	1	1
12	6	0	0
2	6	0	0
10	46	0	0
6	22	0	0
5	5	1	1
9	11	1	1
9	15	1	1
22	22	0	0
16	20	0	0
9	11	1	1
16	6	0	0
11	1	1	1
9	9	1	1
58	54	0	0
17	2	1	0
26	2	0	0
50	2	0	0
13	21	1	1
12	20	0	0
6	12	0	0
60	24	0	0
22	2	0	0
6	9	0	1
31	39	1	1
5	11	1	1
10	6	0	0
15	21	1	1
32	8	0	0
16	0	0	0
5	31	1	1
10	6	0	0
8	8	0	0
20	22	0	0
8	6	0	0
11	15	1	1
9	15	1	1
15	5	1	1
7	22	1	0
5	11	1	1
6	8	0	0
6	0	0	0
25	9	1	1
11	9	1	1
0	20	0	0
5	5	1	1
62	6	0	0
21	37	1	1
9	5	1	1
24	8	0	0
12	6	0	0
44	6	0	0
5	11	1	1
12	36	0	0
23	17	1	1
10	7	0	1
13	11	1	1
20	2	0	0
24	6	0	0
22	12	0	0
32	12	0	0
9	13	1	1
6	40	0	0
9	9	1	1
22	6	0	0
22	12	0	0
5	1	1	1
11	11	1	1
9	23	1	1
6	25	0	1
11	11	1	1
22	22	0	0
5	9	1	1
13	9	1	1
22	2	0	0
12	14	0	0
9	5	1	1
5	9	1	1
12	16	0	0
20	9	0	1
6	11	0	1
2	20	0	0
6	40	0	0
6	6	0	0
32	12	0	0
6	10	0	0
32	2	0	0
32	16	0	0
5	15	1	1
12	0	0	0
64	12	0	0
54	12	0	0
12	22	0	0
12	12	0	0
11	46	1	0
11	9	1	1
5	5	1	1
12	12	0	0
6	24	0	0
9	12	1	0
6	12	0	0
10	22	0	0
6	22	0	0
2	32	0	0
0	6	0	0
5	12	1	0
1	9	1	1
21	11	1	1
13	9	1	1
41	5	1	1
24	32	0	0
6	6	0	0
6	9	0	1
11	13	1	1
66	20	0	0
6	6	0	0
37	1	1	1
5	11	1	1
11	11	1	1
2	12	0	0
11	6	1	0
20	6	0	0
9	15	1	1
22	32	0	0
16	6	0	0
5	5	1	1
5	5	1	1
23	13	1	1
32	12	0	0
11	3	1	1
13	11	1	1
15	12	1	0
15	7	1	1
9	11	1	1
43	0	1	0
2	10	0	0
13	0	1	0
32	6	0	0
11	15	1	1
5	7	1	1
5	23	1	1
10	10	0	0
5	5	1	1
16	36	0	0
1	9	1	1
6	6	0	0
10	0	0	0
6	2	0	0
11	13	1	1
13	5	1	1
12	24	0	0
34	14	0	0
32	6	0	0
5	5	1	1
5	11	1	1
